timestamp,in2.ft
2/28/2018 0:52,0.031
2/28/2018 0:54,0.034
2/28/2018 0:56,0.034
2/28/2018 0:58,0.041
2/28/2018 1:00,0.034
2/28/2018 1:02,0.034
2/28/2018 1:04,0.034
2/28/2018 1:06,0.034
2/28/2018 1:08,0.034
2/28/2018 1:10,0.034
2/28/2018 1:12,0.034
2/28/2018 1:14,0.037
2/28/2018 1:16,0.034
2/28/2018 1:18,0.034
2/28/2018 1:20,0.034
2/28/2018 1:22,0.034
2/28/2018 1:24,0.034
2/28/2018 1:26,0.034
2/28/2018 1:28,0.037
2/28/2018 1:30,0.034
2/28/2018 1:32,0.031
2/28/2018 1:34,0.034
2/28/2018 1:36,0.034
2/28/2018 1:38,0.034
2/28/2018 1:40,0.034
2/28/2018 1:42,0.034
2/28/2018 1:44,0.034
2/28/2018 1:46,0.034
2/28/2018 1:48,0.034
2/28/2018 1:50,0.034
2/28/2018 1:52,0.034
2/28/2018 1:54,0.034
2/28/2018 1:56,0.034
2/28/2018 1:58,0.041
2/28/2018 2:00,0.034
2/28/2018 2:02,0.031
2/28/2018 2:04,0.034
2/28/2018 2:06,0.034
2/28/2018 2:08,0.034
2/28/2018 2:10,0.034
2/28/2018 2:12,0.034
2/28/2018 2:14,0.034
2/28/2018 2:16,0.037
2/28/2018 2:18,0.034
2/28/2018 2:20,0.031
2/28/2018 2:22,0.034
2/28/2018 2:24,0.031
2/28/2018 2:26,0.034
2/28/2018 2:28,0.037
2/28/2018 2:30,0.034
2/28/2018 2:32,0.031
2/28/2018 2:34,0.031
2/28/2018 2:36,0.031
2/28/2018 2:38,0.034
2/28/2018 2:40,0.034
2/28/2018 2:42,0.034
2/28/2018 2:44,0.034
2/28/2018 2:46,0.034
2/28/2018 2:48,0.034
2/28/2018 2:50,0.031
2/28/2018 2:52,0.031
2/28/2018 2:54,0.031
2/28/2018 2:56,0.031
2/28/2018 2:58,0.034
2/28/2018 3:00,0.034
2/28/2018 3:02,0.031
2/28/2018 3:04,0.031
2/28/2018 3:06,0.031
2/28/2018 3:08,0.034
2/28/2018 3:10,0.031
2/28/2018 3:12,0.031
2/28/2018 3:14,0.034
2/28/2018 3:16,0.034
2/28/2018 3:18,0.031
2/28/2018 3:20,0.031
2/28/2018 3:22,0.034
2/28/2018 3:24,0.034
2/28/2018 3:26,0.031
2/28/2018 3:28,0.037
2/28/2018 3:30,0.034
2/28/2018 3:32,0.031
2/28/2018 3:34,0.031
2/28/2018 3:36,0.031
2/28/2018 3:38,0.034
2/28/2018 3:40,0.034
2/28/2018 3:42,0.034
2/28/2018 3:44,0.031
2/28/2018 3:46,0.031
2/28/2018 3:48,0.031
2/28/2018 3:50,0.031
2/28/2018 3:52,0.034
2/28/2018 3:54,0.031
2/28/2018 3:56,0.034
2/28/2018 3:58,0.037
2/28/2018 4:00,0.034
2/28/2018 4:02,0.031
2/28/2018 4:04,0.031
2/28/2018 4:06,0.031
2/28/2018 4:08,0.031
2/28/2018 4:10,0.034
2/28/2018 4:12,0.034
2/28/2018 4:14,0.034
2/28/2018 4:16,0.031
2/28/2018 4:18,0.031
2/28/2018 4:20,0.031
2/28/2018 4:22,0.031
2/28/2018 4:24,0.034
2/28/2018 4:26,0.031
2/28/2018 4:28,0.037
2/28/2018 4:30,0.034
2/28/2018 4:32,0.034
2/28/2018 4:34,0.031
2/28/2018 4:36,0.031
2/28/2018 4:38,0.034
2/28/2018 4:40,0.034
2/28/2018 4:42,0.034
2/28/2018 4:44,0.034
2/28/2018 4:46,0.034
2/28/2018 4:48,0.031
2/28/2018 4:50,0.031
2/28/2018 4:52,0.031
2/28/2018 4:54,0.031
2/28/2018 4:56,0.031
2/28/2018 4:58,0.037
2/28/2018 5:00,0.034
2/28/2018 5:02,0.031
2/28/2018 5:04,0.034
2/28/2018 5:06,0.031
2/28/2018 5:08,0.034
2/28/2018 5:10,0.034
2/28/2018 5:12,0.031
2/28/2018 5:14,0.031
2/28/2018 5:16,0.031
2/28/2018 5:18,0.031
2/28/2018 5:20,0.031
2/28/2018 5:22,0.031
2/28/2018 5:24,0.031
2/28/2018 5:26,0.031
2/28/2018 5:28,0.034
2/28/2018 5:30,0.031
2/28/2018 5:32,0.031
2/28/2018 5:34,0.034
2/28/2018 5:36,0.034
2/28/2018 5:38,0.034
2/28/2018 5:40,0.034
2/28/2018 5:42,0.034
2/28/2018 5:44,0.034
2/28/2018 5:46,0.034
2/28/2018 5:48,0.031
2/28/2018 5:50,0.031
2/28/2018 5:52,0.031
2/28/2018 5:54,0.034
2/28/2018 5:56,0.031
2/28/2018 5:58,0.034
2/28/2018 6:00,0.031
2/28/2018 6:02,0.031
2/28/2018 6:04,0.034
2/28/2018 6:06,0.031
2/28/2018 6:08,0.031
2/28/2018 6:10,0.031
2/28/2018 6:12,0.031
2/28/2018 6:14,0.031
2/28/2018 6:16,0.031
2/28/2018 6:18,0.031
2/28/2018 6:20,0.031
2/28/2018 6:22,0.031
2/28/2018 6:24,0.031
2/28/2018 6:26,0.031
2/28/2018 6:28,0.037
2/28/2018 6:30,0.031
2/28/2018 6:32,0.031
2/28/2018 6:34,0.031
2/28/2018 6:36,0.031
2/28/2018 6:38,0.031
2/28/2018 6:40,0.031
2/28/2018 6:42,0.031
2/28/2018 6:44,0.034
2/28/2018 6:46,0.031
2/28/2018 6:48,0.034
2/28/2018 6:50,0.031
2/28/2018 6:52,0.034
2/28/2018 6:54,0.034
2/28/2018 6:56,0.034
2/28/2018 6:58,0.037
2/28/2018 7:00,0.034
2/28/2018 7:02,0.031
2/28/2018 7:04,0.031
2/28/2018 7:06,0.031
2/28/2018 7:08,0.034
2/28/2018 7:10,0.034
2/28/2018 7:12,0.031
2/28/2018 7:14,0.034
2/28/2018 7:16,0.034
2/28/2018 7:18,0.031
2/28/2018 7:20,0.031
2/28/2018 7:22,0.031
2/28/2018 7:24,0.031
2/28/2018 7:26,0.031
2/28/2018 7:28,0.037
2/28/2018 7:30,0.034
2/28/2018 7:32,0.031
2/28/2018 7:34,0.031
2/28/2018 7:36,0.031
2/28/2018 7:38,0.031
2/28/2018 7:40,0.034
2/28/2018 7:42,0.031
2/28/2018 7:44,0.031
2/28/2018 7:46,0.031
2/28/2018 7:48,0.031
2/28/2018 7:50,0.031
2/28/2018 7:52,0.034
2/28/2018 7:54,0.034
2/28/2018 7:56,0.034
2/28/2018 7:58,0.037
2/28/2018 8:00,0.034
2/28/2018 8:02,0.031
2/28/2018 8:04,0.031
2/28/2018 8:06,0.031
2/28/2018 8:08,0.031
2/28/2018 8:10,0.031
2/28/2018 8:12,0.031
2/28/2018 8:14,0.031
2/28/2018 8:16,0.031
2/28/2018 8:18,0.031
2/28/2018 8:20,0.031
2/28/2018 8:22,0.031
2/28/2018 8:24,0.031
2/28/2018 8:26,0.031
2/28/2018 8:28,0.034
2/28/2018 8:30,0.031
2/28/2018 8:32,0.031
2/28/2018 8:34,0.034
2/28/2018 8:36,0.034
2/28/2018 8:38,0.031
2/28/2018 8:40,0.031
2/28/2018 8:42,0.034
2/28/2018 8:44,0.031
2/28/2018 8:46,0.031
2/28/2018 8:48,0.031
2/28/2018 8:50,0.031
2/28/2018 8:52,0.031
2/28/2018 8:54,0.034
2/28/2018 8:56,0.034
2/28/2018 8:58,0.037
2/28/2018 9:00,0.031
2/28/2018 9:02,0.031
2/28/2018 9:04,0.031
2/28/2018 9:06,0.031
2/28/2018 9:08,0.031
2/28/2018 9:10,0.031
2/28/2018 9:12,0.031
2/28/2018 9:14,0.031
2/28/2018 9:16,0.031
2/28/2018 9:18,0.031
2/28/2018 9:20,0.031
2/28/2018 9:22,0.031
2/28/2018 9:24,0.031
2/28/2018 9:26,0.031
2/28/2018 9:28,0.034
2/28/2018 9:30,0.031
2/28/2018 9:32,0.031
2/28/2018 9:34,0.031
2/28/2018 9:36,0.031
2/28/2018 9:38,0.031
2/28/2018 9:40,0.031
2/28/2018 9:42,0.031
2/28/2018 9:44,0.031
2/28/2018 9:46,0.031
2/28/2018 9:48,0.031
2/28/2018 9:50,0.031
2/28/2018 9:52,0.031
2/28/2018 9:54,0.031
2/28/2018 9:56,0.031
2/28/2018 9:58,0.034
2/28/2018 10:00,0.031
2/28/2018 10:02,0.031
2/28/2018 10:04,0.031
2/28/2018 10:06,0.031
2/28/2018 10:08,0.031
2/28/2018 10:10,0.031
2/28/2018 10:12,0.031
2/28/2018 10:14,0.031
2/28/2018 10:16,0.031
2/28/2018 10:18,0.031
2/28/2018 10:20,0.031
2/28/2018 10:22,0.031
2/28/2018 10:24,0.031
2/28/2018 10:26,0.031
2/28/2018 10:28,0.031
2/28/2018 10:30,0.031
2/28/2018 10:32,0.028
2/28/2018 10:34,0.031
2/28/2018 10:36,0.031
2/28/2018 10:38,0.031
2/28/2018 10:40,0.031
2/28/2018 10:42,0.031
2/28/2018 10:44,0.031
2/28/2018 10:46,0.031
2/28/2018 10:48,0.031
2/28/2018 10:50,0.031
2/28/2018 10:52,0.031
2/28/2018 10:54,0.031
2/28/2018 10:56,0.031
2/28/2018 10:58,0.034
2/28/2018 11:00,0.031
2/28/2018 11:02,0.031
2/28/2018 11:04,0.031
2/28/2018 11:06,0.031
2/28/2018 11:08,0.031
2/28/2018 11:10,0.031
2/28/2018 11:12,0.031
2/28/2018 11:14,0.031
2/28/2018 11:16,0.031
2/28/2018 11:18,0.028
2/28/2018 11:20,0.031
2/28/2018 11:22,0.028
2/28/2018 11:24,0.031
2/28/2018 11:26,0.031
2/28/2018 11:28,0.031
2/28/2018 11:30,0.031
2/28/2018 11:32,0.031
2/28/2018 11:34,0.031
2/28/2018 11:36,0.031
2/28/2018 11:38,0.031
2/28/2018 11:40,0.031
2/28/2018 11:42,0.031
2/28/2018 11:44,0.031
2/28/2018 11:46,0.031
2/28/2018 11:48,0.031
2/28/2018 11:50,0.031
2/28/2018 11:52,0.031
2/28/2018 11:54,0.031
2/28/2018 11:56,0.031
2/28/2018 11:58,0.034
2/28/2018 12:00,0.031
2/28/2018 12:02,0.031
2/28/2018 12:04,0.031
2/28/2018 12:06,0.031
2/28/2018 12:08,0.031
2/28/2018 12:10,0.031
2/28/2018 12:12,0.031
2/28/2018 12:14,0.034
2/28/2018 12:16,0.031
2/28/2018 12:18,0.031
2/28/2018 12:20,0.031
2/28/2018 12:22,0.031
2/28/2018 12:24,0.031
2/28/2018 12:26,0.034
2/28/2018 12:28,0.034
2/28/2018 12:30,0.031
2/28/2018 12:32,0.031
2/28/2018 12:34,0.031
2/28/2018 12:36,0.034
2/28/2018 12:38,0.034
2/28/2018 12:40,0.034
2/28/2018 12:42,0.034
2/28/2018 12:44,0.031
2/28/2018 12:46,0.031
2/28/2018 12:48,0.031
2/28/2018 12:50,0.031
2/28/2018 12:52,0.031
2/28/2018 12:54,0.031
2/28/2018 12:56,0.031
2/28/2018 12:58,0.031
2/28/2018 13:00,0.031
2/28/2018 13:02,0.031
2/28/2018 13:04,0.031
2/28/2018 13:06,0.031
2/28/2018 13:08,0.034
2/28/2018 13:10,0.031
2/28/2018 13:12,0.031
2/28/2018 13:14,0.031
2/28/2018 13:16,0.031
2/28/2018 13:18,0.031
2/28/2018 13:20,0.031
2/28/2018 13:22,0.031
2/28/2018 13:24,0.031
2/28/2018 13:26,0.031
2/28/2018 13:28,0.034
2/28/2018 13:30,0.031
2/28/2018 13:32,0.031
2/28/2018 13:34,0.031
2/28/2018 13:36,0.031
